storm_id,source_page,source_row,reason
NIO_2018_TITLI,191,22.0,INVALID_OR_MISSING_COORDINATES
NIO_2018_VISAKHAPATNAM,253,21.0,INVALID_OR_MISSING_COORDINATES
NIO_2018_VISAKHAPATNAM,254,8.0,INVALID_OR_MISSING_COORDINATES
NIO_2018_VISAKHAPATNAM,254,9.0,INVALID_OR_MISSING_COORDINATES
NIO_2018_VISAKHAPATNAM,254,11.0,INVALID_OR_MISSING_COORDINATES
NIO_2018_VISAKHAPATNAM,254,12.0,INVALID_OR_MISSING_COORDINATES
NIO_2021_JAWAD,208,11.0,INVALID_OR_MISSING_COORDINATES
NIO_2021_UNNAMED_2_10_1,195,1.0,MISSING_TIMESTAMP
NIO_2021_UNNAMED_2_10_1,195,2.0,MISSING_TIMESTAMP
NIO_2021_UNNAMED_2_10_1,195,3.0,MISSING_TIMESTAMP
NIO_2021_UNNAMED_2_10_1,195,4.0,MISSING_TIMESTAMP
NIO_2022_NO,166,17.0,INVALID_OR_MISSING_COORDINATES
NIO_2023_HAMOON,181,1.0,MISSING_TIMESTAMP
NIO_2023_MOCHA,66,21.0,INVALID_OR_MISSING_COORDINATES
NIO_2023_UNNAMED_2_2_1,45,16.0,MISSING_TIMESTAMP
NIO_2024_LAT,136,7.0,MISSING_TIMESTAMP
,55,32.0,NON_OBSERVATION_NARRATIVE_ROW
,55,33.0,NON_OBSERVATION_NARRATIVE_ROW
,55,34.0,NON_OBSERVATION_NARRATIVE_ROW
,55,35.0,NON_OBSERVATION_NARRATIVE_ROW
,55,36.0,NON_OBSERVATION_NARRATIVE_ROW
,23,35.0,NON_OBSERVATION_NARRATIVE_ROW
,29,6.0,NON_OBSERVATION_NARRATIVE_ROW
,36,9.0,NON_OBSERVATION_NARRATIVE_ROW
,41,5.0,NON_OBSERVATION_NARRATIVE_ROW
,46,5.0,NON_OBSERVATION_NARRATIVE_ROW
,52,3.0,NON_OBSERVATION_NARRATIVE_ROW
,58,6.0,NON_OBSERVATION_NARRATIVE_ROW
,74,10.0,NON_OBSERVATION_NARRATIVE_ROW
,79,12.0,NON_OBSERVATION_NARRATIVE_ROW
,23,13.0,NON_OBSERVATION_NARRATIVE_ROW
,26,16.0,NON_OBSERVATION_NARRATIVE_ROW
,32,35.0,NON_OBSERVATION_NARRATIVE_ROW
,32,45.0,NON_OBSERVATION_NARRATIVE_ROW
,41,9.0,NON_OBSERVATION_NARRATIVE_ROW
,41,21.0,NON_OBSERVATION_NARRATIVE_ROW
,46,9.0,NON_OBSERVATION_NARRATIVE_ROW
,51,10.0,NON_OBSERVATION_NARRATIVE_ROW
,51,23.0,NON_OBSERVATION_NARRATIVE_ROW
,57,44.0,NON_OBSERVATION_NARRATIVE_ROW
,62,10.0,NON_OBSERVATION_NARRATIVE_ROW
,62,22.0,NON_OBSERVATION_NARRATIVE_ROW
,67,10.0,NON_OBSERVATION_NARRATIVE_ROW
,67,26.0,NON_OBSERVATION_NARRATIVE_ROW
,71,11.0,NON_OBSERVATION_NARRATIVE_ROW
,75,46.0,NON_OBSERVATION_NARRATIVE_ROW
,80,36.0,NON_OBSERVATION_NARRATIVE_ROW
,38,17.0,NON_OBSERVATION_NARRATIVE_ROW
,42,3.0,NON_OBSERVATION_NARRATIVE_ROW
,42,9.0,NON_OBSERVATION_NARRATIVE_ROW
,44,4.0,NON_OBSERVATION_NARRATIVE_ROW
,47,9.0,NON_OBSERVATION_NARRATIVE_ROW
,47,20.0,NON_OBSERVATION_NARRATIVE_ROW
,52,9.0,NON_OBSERVATION_NARRATIVE_ROW
,57,12.0,NON_OBSERVATION_NARRATIVE_ROW
,57,15.0,NON_OBSERVATION_NARRATIVE_ROW
,63,19.0,NON_OBSERVATION_NARRATIVE_ROW
,63,22.0,NON_OBSERVATION_NARRATIVE_ROW
,70,15.0,NON_OBSERVATION_NARRATIVE_ROW
,70,19.0,NON_OBSERVATION_NARRATIVE_ROW
,79,18.0,NON_OBSERVATION_NARRATIVE_ROW
,39,25.0,NON_OBSERVATION_NARRATIVE_ROW
,39,26.0,NON_OBSERVATION_NARRATIVE_ROW
,45,15.0,NON_OBSERVATION_NARRATIVE_ROW
,62,6.0,NON_OBSERVATION_NARRATIVE_ROW
,62,9.0,NON_OBSERVATION_NARRATIVE_ROW
,64,4.0,NON_OBSERVATION_NARRATIVE_ROW
,68,4.0,NON_OBSERVATION_NARRATIVE_ROW
,68,9.0,NON_OBSERVATION_NARRATIVE_ROW
,71,4.0,NON_OBSERVATION_NARRATIVE_ROW
,71,16.0,NON_OBSERVATION_NARRATIVE_ROW
,78,14.0,NON_OBSERVATION_NARRATIVE_ROW
,78,18.0,NON_OBSERVATION_NARRATIVE_ROW
,83,27.0,NON_OBSERVATION_NARRATIVE_ROW
,83,32.0,NON_OBSERVATION_NARRATIVE_ROW
,57,26.0,NON_OBSERVATION_NARRATIVE_ROW
,77,8.0,NON_OBSERVATION_NARRATIVE_ROW
,77,11.0,NON_OBSERVATION_NARRATIVE_ROW
,82,13.0,NON_OBSERVATION_NARRATIVE_ROW
,82,16.0,NON_OBSERVATION_NARRATIVE_ROW
,84,16.0,NON_OBSERVATION_NARRATIVE_ROW
,84,23.0,NON_OBSERVATION_NARRATIVE_ROW
,93,28.0,NON_OBSERVATION_NARRATIVE_ROW
,93,32.0,NON_OBSERVATION_NARRATIVE_ROW
,103,5.0,NON_OBSERVATION_NARRATIVE_ROW
,103,7.0,NON_OBSERVATION_NARRATIVE_ROW
,33,4.0,NON_OBSERVATION_NARRATIVE_ROW
,35,3.0,NON_OBSERVATION_NARRATIVE_ROW
,35,7.0,NON_OBSERVATION_NARRATIVE_ROW
,40,3.0,NON_OBSERVATION_NARRATIVE_ROW
,40,36.0,NON_OBSERVATION_NARRATIVE_ROW
,63,4.0,NON_OBSERVATION_NARRATIVE_ROW
,63,5.0,NON_OBSERVATION_NARRATIVE_ROW
,63,7.0,NON_OBSERVATION_NARRATIVE_ROW
,68,4.0,NON_OBSERVATION_NARRATIVE_ROW
,68,9.0,NON_OBSERVATION_NARRATIVE_ROW
,75,5.0,NON_OBSERVATION_NARRATIVE_ROW
,75,8.0,NON_OBSERVATION_NARRATIVE_ROW
,82,25.0,NON_OBSERVATION_NARRATIVE_ROW
,97,21.0,NON_OBSERVATION_NARRATIVE_ROW
