filename,canonical_filename,is_canonical,is_redundant_duplicate,file_size_bytes,sha256,status,notes
3B-HHR.MS.MRG.3IMERG.20021123-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S120000-E122959.0720.V07B.HDF5,True,False,7653779,7897b2d523ef3a705a35164b2bcb32171af2e6cd29581423c73873fb7af534ae,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S150000-E152959.0900.V07B.HDF5,True,False,7811236,7a3f71a255a944e27b8e64e63255fd6fc6f1f1e4c0e961d62a281a95e7141d75,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S180000-E182959.1080.V07B.HDF5,True,False,7646033,6d035ad6c14c51cab7a1ebf05d49dd630ffeb6109e803e52070a867a9157ba6b,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S210000-E212959.1260.V07B.HDF5,True,False,7703078,9330bf5d3d1b8f687124c555fa862c43a1a29096557a76b82359bb238c734dd7,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021124-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021124-S000000-E002959.0000.V07B.HDF5,True,False,7644181,ea4bc0564c2053d48e443a3608565cdf7d20e2194578a4a1a3bf3ee2ac8e41d3,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021124-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021124-S030000-E032959.0180.V07B.HDF5,True,False,7706876,38d143d386a692945cf41721315c8bffea88b2946409e21b58c35c709f048c94,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021124-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021124-S060000-E062959.0360.V07B.HDF5,True,False,7768072,bff2912371ce3212421ef00780b111d47349e554f9623365b293fbbc4a6f502c,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021124-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021124-S090000-E092959.0540.V07B.HDF5,True,False,7675134,89e14791d9d6925fabda1485ceea1fce1278d7b1657ab51ea5350911561d1040,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021124-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021124-S120000-E122959.0720.V07B.HDF5,True,False,7544852,25e291bf4a95f8d5f62e261540ce42decf6263c0cd7baa54b1f951eef0095990,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050114-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050114-S120000-E122959.0720.V07B.HDF5,True,False,8197076,33ae3b258371ea80ad56f3344bc38a4e4f04d10de746ee7274f74364dca13106,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050114-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050114-S150000-E152959.0900.V07B.HDF5,True,False,8086888,fb0e9b78e4c6a785dabf6f946febffd52e889e669e93e2a87bfcc7b27aae7d94,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20050114-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20050114-S180000-E182959.1080.V07B.HDF5,True,False,8207728,adc137672c2f03d0fa43ee97f08e764a5b19d62d9fc4e528213b06e1e3e316c4,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
