sample_id,storm_id,t0_utc,gridsat_spatial_mean,imerg_spatial_mean,gate_median,gate_p10,gate_p90,spatial_variance
NIO_2021_TAUKTAE_20210515_0600Z,NIO_2021_TAUKTAE,2021-05-15T06:00:00Z,0.4958514869213104,0.5041485130786896,0.4980458617210388,0.42182716727256775,0.574288547039032,0.010662783868610859
NIO_2021_TAUKTAE_20210515_0900Z,NIO_2021_TAUKTAE,2021-05-15T09:00:00Z,0.49646133184432983,0.5035386681556702,0.4985106289386749,0.4192030131816864,0.5793687701225281,0.010511361993849277
NIO_2021_TAUKTAE_20210515_1200Z,NIO_2021_TAUKTAE,2021-05-15T12:00:00Z,0.4967460036277771,0.5032539963722229,0.4985453486442566,0.414480984210968,0.5838395953178406,0.010254058055579662
NIO_2021_TAUKTAE_20210515_1500Z,NIO_2021_TAUKTAE,2021-05-15T15:00:00Z,0.49698707461357117,0.5030129253864288,0.4987230896949768,0.41535019874572754,0.583620548248291,0.009969132952392101
NIO_2021_TAUKTAE_20210515_1800Z,NIO_2021_TAUKTAE,2021-05-15T18:00:00Z,0.49736082553863525,0.5026391744613647,0.4988410770893097,0.4162556529045105,0.5829910039901733,0.009496302343904972
NIO_2021_TAUKTAE_20210515_2100Z,NIO_2021_TAUKTAE,2021-05-15T21:00:00Z,0.49754729866981506,0.5024527013301849,0.4986988306045532,0.41766130924224854,0.5823883414268494,0.009128759615123272
NIO_2021_TAUKTAE_20210516_0000Z,NIO_2021_TAUKTAE,2021-05-16T00:00:00Z,0.49732068181037903,0.502679318189621,0.4984595775604248,0.41913872957229614,0.5799350738525391,0.00900015514343977
NIO_2021_TAUKTAE_20210516_0300Z,NIO_2021_TAUKTAE,2021-05-16T03:00:00Z,0.4970511794090271,0.5029488205909729,0.4981403648853302,0.42572447657585144,0.5718311667442322,0.008338380604982376
NIO_2021_TAUKTAE_20210516_0600Z,NIO_2021_TAUKTAE,2021-05-16T06:00:00Z,0.49705609679222107,0.5029439032077789,0.49819105863571167,0.42969146370887756,0.5676066875457764,0.007681725546717644
NIO_2021_TAUKTAE_20210516_0900Z,NIO_2021_TAUKTAE,2021-05-16T09:00:00Z,0.49747800827026367,0.5025219917297363,0.4983827471733093,0.4275282621383667,0.5709939002990723,0.0075425258837640285
NIO_2021_TAUKTAE_20210516_1200Z,NIO_2021_TAUKTAE,2021-05-16T12:00:00Z,0.4976467490196228,0.5023532509803772,0.49838191270828247,0.42483222484588623,0.5748514533042908,0.007588042411953211
NIO_2021_TAUKTAE_20210516_1500Z,NIO_2021_TAUKTAE,2021-05-16T15:00:00Z,0.49777674674987793,0.5022232532501221,0.49844908714294434,0.4244399666786194,0.5755006074905396,0.007511759642511606
NIO_2021_TAUKTAE_20210516_1800Z,NIO_2021_TAUKTAE,2021-05-16T18:00:00Z,0.4977879524230957,0.5022120475769043,0.49857425689697266,0.4250870645046234,0.574751079082489,0.0073243677616119385
NIO_2021_TAUKTAE_20210517_0000Z,NIO_2021_TAUKTAE,2021-05-17T00:00:00Z,0.4970339238643646,0.5029660761356354,0.4983896017074585,0.42447173595428467,0.5741866230964661,0.007980181835591793
NIO_2021_TAUKTAE_20210517_0300Z,NIO_2021_TAUKTAE,2021-05-17T03:00:00Z,0.4964666962623596,0.5035333037376404,0.4982132911682129,0.4279319643974304,0.5686348080635071,0.007661776151508093
